Singapore,Singapore,1.287953 103.851784
Brazil,Sao Paulo,-23.533773 -46.625290
Lithuania,Vilnius,54.687157 25.279652
Indonesia,Jakarta,-6.200000 106.816666
United States,Asheville,35.595058 -82.551487
India,Mumbai,19.076090 72.877426
United States,Phoenix,33.448376 -112.074036
Netherlands,Meppel,52.692547 6.190908
United Kingdom,Manchester,53.483959 -2.244644
France,Paris,48.864716 2.349014
