# Hostinger International Limited,,,,
# Prefixes located at Australia - Sydney,,,,
195.35.16.0/22,BR,,Sao Paulo,
195.35.40.0/22,BR,,Sao Paulo,
195.200.0.0/21,BR,,Sao Paulo,
212.85.0.0/21,BR,,Sao Paulo,
212.85.8.0/21,BR,,Sao Paulo,
212.85.16.0/21,BR,,Sao Paulo,
217.196.56.0/21,BR,,Sao Paulo,
223.27.112.0/24,BR,,Sao Paulo,
2a02:4780:13::/48,BR,,Sao Paulo,
2a02:4780:14::/48,BR,,Sao Paulo,
2a02:4780:17::/48,BR,,Sao Paulo,
2a02:4780:18::/48,BR,,Sao Paulo,
2a02:4780:2e::/48,BR,,Sao Paulo,
2a02:4780:2f::/48,BR,,Sao Paulo,
2a02:4780:56::/48,BR,,Sao Paulo,
2a02:4780:66::/48,BR,,Sao Paulo,
# Prefixes located at Chile - Santiago,,,,
77.37.85.0/24,CL,,Santiago,
185.249.224.0/24,CL,,Santiago,
2a02:4780:71::/48,CL,,Santiago,
2a02:4780:72::/48,CL,,Santiago,
# Prefixes located at France - Paris,,,,
31.97.3.0/24,FR,,Paris,
31.97.52.0/22,FR,,Paris,
31.97.68.0/23,FR,,Paris,
31.97.152.0/21,FR,,Paris,
31.97.176.0/23,FR,,Paris,
31.97.178.0/24,FR,,Paris,
31.97.192.0/21,FR,,Paris,
45.13.252.0/23,FR,,Paris,
45.133.178.0/24,FR,,Paris,
46.202.128.0/21,FR,,Paris,
46.202.168.0/21,FR,,Paris,
62.72.16.0/22,FR,,Paris,
62.72.36.0/22,FR,,Paris,
69.62.105.0/24,FR,,Paris,
69.62.106.0/23,FR,,Paris,
69.62.108.0/22,FR,,Paris,
69.62.125.0/24,FR,,Paris,
72.60.44.0/22,FR,,Paris,
72.60.88.0/21,FR,,Paris,
72.60.184.0/21,FR,,Paris,
72.60.212.0/22,FR,,Paris,
72.61.96.0/20,FR,,Paris,
72.61.160.0/21,FR,,Paris,
72.61.192.0/21,FR,,Paris,
72.62.16.0/20,FR,,Paris,
72.62.176.0/20,FR,,Paris,
72.62.232.0/21,FR,,Paris,
77.37.38.0/23,FR,,Paris,
77.37.50.0/24,FR,,Paris,
77.37.51.0/24,FR,,Paris,
77.37.86.0/23,FR,,Paris,
77.37.120.0/23,FR,,Paris,
77.37.122.0/23,FR,,Paris,
77.37.124.0/23,FR,,Paris,
82.25.112.0/21,FR,,Paris,
82.29.168.0/21,FR,,Paris,
82.112.240.0/22,FR,,Paris,
82.112.252.0/22,FR,,Paris,
85.31.236.0/22,FR,,Paris,
88.223.92.0/22,FR,,Paris,
89.116.35.0/24,FR,,Paris,
89.116.36.0/24,FR,,Paris,
89.116.37.0/24,FR,,Paris,
89.116.38.0/24,FR,,Paris,
89.116.110.0/24,FR,,Paris,
89.116.111.0/24,FR,,Paris,
89.116.114.0/24,FR,,Paris,
89.116.120.0/24,FR,,Paris,
89.116.146.0/23,FR,,Paris,
89.117.102.0/23,FR,,Paris,
89.117.116.0/23,FR,,Paris,
89.117.168.0/23,FR,,Paris,
91.108.101.0/24,FR,,Paris,
91.108.102.0/24,FR,,Paris,
91.108.112.0/22,FR,,Paris,
92.112.192.0/22,FR,,Paris,
92.113.24.0/21,FR,,Paris,
93.127.162.0/23,FR,,Paris,
93.127.202.0/23,FR,,Paris,
93.127.204.0/23,FR,,Paris,
109.176.197.0/24,FR,,Paris,
109.176.198.0/24,FR,,Paris,
109.176.199.0/24,FR,,Paris,
145.79.20.0/22,FR,,Paris,
145.223.32.0/21,FR,,Paris,
147.79.96.0/21,FR,,Paris,
147.79.112.0/21,FR,,Paris,
147.93.48.0/21,FR,,Paris,
147.93.88.0/21,FR,,Paris,
148.222.54.0/24,FR,,Paris,
148.230.112.0/21,FR,,Paris,
148.230.124.0/22,FR,,Paris,
168.231.76.0/23,FR,,Paris,
168.231.80.0/21,FR,,Paris,
178.16.128.0/22,FR,,Paris,
